site	PSI-MS_name	name	composition	priority
H	null	NA-OA-NO2	H(33) C(18) N O(4)	0
H	null	iodoTMT	H(28) C(16) N(4) O(3)	0
H	null	4-ONE+Delta:H(-2)O(-1)	H(12) C(9) O	0
H	Carbamidomethyl	Carbamidomethyl	H(3) C(2) N O	0
H	HNE	HNE	H(16) C(9) O(2)	0
H	null	4-ONE	H(14) C(9) O(2)	0
H	Delta:H(4)C(3)	Delta:H(4)C(3)	H(4) C(3)	0
H	Diphthamide	Diphthamide	H(14) C(7) N(2) O	0
H	null	ethylsulfonylethyl	H(8) C(4) O(2) S	0
H	null	DMPO	H(9) C(6) N O	0
H	Iodo	Iodo	H(-1) I	0
H	AEBS	AEBS	H(9) C(8) N O(2) S	0
H	Carboxyethyl	Carboxyethyl	H(4) C(3) O(2)	0
H	null	DNCB_hapten	H(2) C(6) N(2) O(4)	0
H	null	Propiophenone	H(8) C(9) O	0
H	null	biotinAcrolein298	H(22) C(13) N(4) O(2) S	0
H	Phosphoadenosine	Phosphoadenosine	H(12) C(10) N(5) O(6) P	0
H	null	BDMAPP	H(12) C(11) N O Br	0
H	Cation:Cu[I]	Cation:Cu[I]	H(-1) Cu	0
H	null	O-pinacolylmethylphosphonate	H(15) C(7) O(2) P	0
H	Oxidation	Oxidation	O	0
H	Acetyl	Acetyl	H(2) C(2) O	0
H	null	PS_Hapten	H(4) C(7) O(2)	0
H	null	NA-LNO2	H(31) C(18) N O(4)	0
H	Phosphoguanosine	Phosphoguanosine	H(12) C(10) N(5) O(7) P	0
H	FMNH	FMNH	H(19) C(17) N(4) O(9) P	0
H	null	HN2_mustard	H(11) C(5) N O	0
H	BHTOH	BHTOH	H(22) C(15) O(2)	0
H	null	Biotin-phenacyl	H(38) C(29) N(8) O(6) S	0
H	null	Saligenin	H(6) C(7) O	0
H	Delta:H(4)C(2)	Delta:H(4)C(2)	H(4) C(2)	0
H	null	Dicarbamidomethyl	H(6) C(4) N(2) O(2)	0
H	FAD	FAD	H(31) C(27) N(9) O(15) P(2)	0
H	null	Cation:Zn[II]	H(-2) Zn	0
H	PhosphoUridine	PhosphoUridine	H(11) C(9) N(2) O(8) P	0
H	null	Ethoxyformyl	H(4) C(3) O(2)	0
H	Phospho	Phospho	H O(3) P	0
H	null	Delta:H(6)C(3)O(1)	H(6) C(3) O	0
H	null	HNE-Delta:H(2)O	H(14) C(9) O	0
H	null	Diethylphosphate	H(9) C(4) O(3) P	0
H	Diiodo	Diiodo	H(-2) I(2)	0
H	null	iodoTMT6plex	H(28) C(12) 13C(4) N(3) 15N O(3)	0
H	Delta:H(4)C(3)O(1)	Delta:H(4)C(3)O(1)	H(4) C(3) O	0
H	null	Cresylphosphate	H(7) C(7) O(3) P	0
H	BHT	BHT	H(22) C(15) O	0
H	null	HNE-BAHAH	H(45) C(25) N(5) O(4) S	0
H	Methyl	Methyl	H(2) C	0
H	null	CresylSaligeninPhosphate	H(13) C(14) O(4) P	0
H	Delta:H(2)C(2)	Delta:H(2)C(2)	H(2) C(2)	0
H	Bromo	Bromo	H(-1) Br	0
H	Heme	Heme	H(32) C(34) N(4) O(4) Fe	0
I	Methyl	Methyl	H(2) C	0
K	Methylthio	Methylthio	H(2) C S	0
K	Iminobiotin	Iminobiotin	H(15) C(10) N(3) O S	0
